support,itemsets,length
0.010780669144981412,frozenset({4938}),1
0.017657992565055763,frozenset({5013}),1
0.028438661710037175,frozenset({5304}),1
0.015799256505576207,frozenset({5528035}),1
0.011524163568773234,frozenset({5561044}),1
0.010594795539033457,frozenset({5622677}),1
0.010223048327137546,frozenset({5651975}),1
0.010037174721189592,frozenset({5670733}),1
0.019888475836431226,frozenset({5686925}),1
0.013568773234200743,frozenset({5687151}),1
0.029553903345724906,frozenset({5700037}),1
0.014312267657992565,frozenset({5700046}),1
0.013011152416356878,frozenset({5729864}),1
0.021561338289962824,frozenset({5751383}),1
0.026765799256505577,frozenset({5751422}),1
0.010966542750929368,frozenset({5759491}),1
0.014312267657992565,frozenset({5759492}),1
0.011895910780669145,frozenset({5761411}),1
0.010966542750929368,frozenset({5773361}),1
0.010780669144981412,frozenset({5776130}),1
0.010223048327137546,frozenset({5789668}),1
0.020446096654275093,frozenset({5792800}),1
0.010037174721189592,frozenset({5793704}),1
0.03234200743494424,frozenset({5802432}),1
0.011524163568773234,frozenset({5809297}),1
0.011152416356877323,frozenset({5809871}),1
0.0604089219330855,frozenset({5809910}),1
0.01654275092936803,frozenset({5809911}),1
0.027695167286245354,frozenset({5809912}),1
0.010780669144981412,frozenset({5814046}),1
0.02695167286245353,frozenset({5815662}),1
0.013011152416356878,frozenset({5816170}),1
0.010037174721189592,frozenset({5817702}),1
0.010037174721189592,frozenset({5824810}),1
0.01486988847583643,frozenset({5833330}),1
0.010966542750929368,frozenset({5833334}),1
0.015427509293680298,frozenset({5843836}),1
0.016728624535315983,frozenset({5849033}),1
0.0362453531598513,frozenset({5854897}),1
0.010037174721189592,frozenset({5857360}),1
0.010780669144981412,frozenset({5862943}),1
0.014312267657992565,"frozenset({5809912, 5809910})",2
